OBJECTID,FACILITYID,UUSE,SIZE,UNITS,OWNERSHIP,COMMENTS,OBJECTID_1
1,047017BLDS,Rail or bus,,,,none,1
2,035866BLDS,Household,1919,1,Condo,none,2
3,046402BLDS,Retail goods,9918,2,,none,3
4,046619BLDS,Household,,1,,none,4
5,039424BLDS,Household,2048,1,Condo,none,5
6,014970BLDS,Office,33016,,Condo,none,6
7,046235BLDS,Household,,1,,none,7
8,046236BLDS,Household,,1,,none,8
9,046237BLDS,Household,,1,,none,9
10,046238BLDS,Household,,1,,none,10
11,046239BLDS,Household,,1,,none,11
12,046240BLDS,Household,,1,,none,12
13,021817BLDS,Household,1225,1,,none,13
14,021825BLDS,Household,1365,1,,none,14
15,034290BLDS,Household,1225,1,,none,15
16,014473BLDS,Household,2400,2,Condo,none,16
17,019667BLDS,Office,1200,,,none,17
18,034314BLDS,Household,1110,1,,none,18
19,046049BLDS,Household,1840,1,Condo,none,19
20,037401BLDS,Household,,1,Condo,none,20
21,035860BLDS,Household,1916,1,Condo,none,21
22,037400BLDS,Household,,1,Condo,none,22
23,014781BLDS,Household,,41,Condo,none,23
24,046399BLDS,Utility,1300,,,none,24
25,035821BLDS,Temporary,61182,120,,none,25
26,046400BLDS,Office,,,,none,26
27,021822BLDS,Restaurant,2800,,,none,27
28,007466BLDS,Household,,41,Condo,none,28
29,015080BLDS,Household,,100,Condo,none,29
30,013895BLDS,Household,,41,Condo,none,30
31,014872BLDS,Household,,41,Condo,none,31
32,013620BLDS,Household,,80,Condo,none,32
33,035821BLDS,Restaurant,,,,none,33
34,035869BLDS,Household,1900,1,Condo,none,34
35,037321BLDS,Household,10575,9,Apartment,none,35
36,035410BLDS,Utility,,,,none,36
37,037376BLDS,Household,2864,1,,none,37
38,037377BLDS,Household,2847,1,,none,38
39,037378BLDS,Household,2864,1,,none,39
40,037379BLDS,Household,2847,1,,none,40
41,037388BLDS,Household,2943,1,,none,41
42,047064BLDS,Household,3344,1,,none,42
43,047060BLDS,Senior care,373163,302,,none,43
44,047060BLDS,Retail goods,,,,none,44
45,037387BLDS,Household,2635,1,,none,45
46,037386BLDS,Household,2619,1,,none,46
47,037385BLDS,Household,2619,1,,none,47
48,037384BLDS,Household,2635,1,,none,48
49,037383BLDS,Household,2619,1,,none,49
50,037382BLDS,Household,2635,1,,none,50
51,037381BLDS,Household,2943,1,,none,51
52,037380BLDS,Household,3195,1,,none,52
53,034316BLDS,Household,1365,1,,none,53
54,034317BLDS,Household,1110,1,,none,54
55,034318BLDS,Household,1428,1,,none,55
56,034319BLDS,Household,1225,1,,none,56
57,034320BLDS,Household,980,1,,none,57
58,034321BLDS,Household,1428,1,,none,58
59,046401BLDS,Senior care,80000,66,,none,59
60,045681BLDS,Self storage,101340,,,none,60
61,008315BLDS,Self storage,4956,,,none,61
62,035396BLDS,Household,30427,30,Apartment,none,62
63,035396BLDS,Retail service,5244,,,none,63
64,034292BLDS,Household,1225,1,,none,64
65,034293BLDS,Household,1225,1,,none,65
66,034360BLDS,Household,1225,1,,none,66
67,034361BLDS,Household,1110,1,,none,67
68,034362BLDS,Household,1225,1,,none,68
