OBJECTID,MISCTYPE,COMMENTS,SHAPE_STArea__,SHAPE_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
1,Deck_Porch_Patio,none,,,1,70.81640625,33.9749164311588
2,Deck_Porch_Patio,none,,,2,15.5859375,15.9635503778456
3,Deck_Porch_Patio,none,,,3,12.8203125,14.9263567584493
4,Deck_Porch_Patio,none,,,4,24.1171875,19.7130162288075
5,Deck_Porch_Patio,none,,,5,41.49609375,33.0435800321577
6,Building Canopy,none,,,6,42.33203125,30.644297553546
7,Deck_Porch_Patio,none,,,7,8.17578125,14.7149029606945
8,Deck_Porch_Patio,none,,,8,50.32421875,28.5814750494519
9,Deck_Porch_Patio,none,,,9,40.34375,27.0611517846631
10,Deck_Porch_Patio,none,,,10,57.65234375,46.2835045114844
11,Deck_Porch_Patio,none,,,11,22.390625,18.9858938481433
12,Deck_Porch_Patio,none,,,12,18.05859375,17.3334111557602
13,Deck_Porch_Patio,none,,,13,47.65234375,28.6231598389163
14,Deck_Porch_Patio,none,,,14,76.6015625,35.0903197404904
15,Deck_Porch_Patio,none,,,15,32.1796875,22.8019364947151
16,Deck_Porch_Patio,none,,,16,33.58203125,27.6391005127377
17,Deck_Porch_Patio,none,,,17,38.953125,25.7610848415178
18,Deck_Porch_Patio,none,,,18,34.8125,30.769307814055
19,Deck_Porch_Patio,none,,,19,9.49609375,12.2904061143369
20,Deck_Porch_Patio,none,,,20,17.55078125,17.2344181053482
21,Deck_Porch_Patio,none,,,21,19.22265625,17.587665318894
22,Deck_Porch_Patio,none,,,22,22.39453125,19.0883694598574
23,Deck_Porch_Patio,none,,,23,28,20.3059019387611
24,Deck_Porch_Patio,none,,,24,10.80859375,13.1706223809258
25,Deck_Porch_Patio,none,,,25,52.74609375,35.0612961930255
26,Deck_Porch_Patio,none,,,26,38.76953125,25.0459318390658
27,Deck_Porch_Patio,none,,,27,16.30078125,16.1512357891694
28,Deck_Porch_Patio,none,,,28,15.10546875,16.0238105434513
29,Deck_Porch_Patio,none,,,29,53.8125,29.6330655640851
30,Deck_Porch_Patio,none,,,30,7.95703125,11.6029431331865
31,Deck_Porch_Patio,none,,,31,39.2265625,29.3660236767154
32,Deck_Porch_Patio,none,,,32,8.18359375,11.4819948050657
33,Deck_Porch_Patio,none,,,33,22.1015625,18.8850858371568
34,Deck_Porch_Patio,none,,,34,44.59375,32.8338586976992
35,Deck_Porch_Patio,none,,,35,31.70703125,22.5229817596511
36,Deck_Porch_Patio,none,,,36,22.1640625,20.6962596400177
37,Deck_Porch_Patio,none,,,37,26.125,20.6512298246062
38,Deck_Porch_Patio,none,,,38,20.828125,19.6433488631038
39,Deck_Porch_Patio,none,,,39,77.7734375,37.5590546722144
40,Deck_Porch_Patio,none,,,40,59.671875,30.9006918788163
41,Deck_Porch_Patio,none,,,41,34.45703125,23.5759957256063
42,Deck_Porch_Patio,none,,,42,12.484375,14.1331307961073
43,Deck_Porch_Patio,none,,,43,22.7421875,19.1408796034551
44,Deck_Porch_Patio,none,,,44,32.31640625,23.8523118080939
45,Deck_Porch_Patio,none,,,45,12.734375,15.2464586355799
46,Deck_Porch_Patio,none,,,46,26.66015625,20.7691192938499
47,Deck_Porch_Patio,none,,,47,28.421875,24.0665595477046
48,Deck_Porch_Patio,none,,,48,61.0546875,42.0636156651316
49,Deck_Porch_Patio,none,,,49,14.82421875,16.4440006192847
50,Deck_Porch_Patio,none,,,50,162.33203125,46.5561917725748
51,Deck_Porch_Patio,none,,,51,42.19921875,29.3346103295632
52,Deck_Porch_Patio,none,,,52,26.37890625,22.3522111488537
53,Deck_Porch_Patio,none,,,53,42.390625,32.0816456444084
54,Deck_Porch_Patio,none,,,54,37.484375,24.5187622569218
55,Deck_Porch_Patio,none,,,55,47.9375,41.463787898028
